Country Name,Country Code,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,MW,8,8,8.1,8.1,8.2,8.2,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.5,8.5,8.6,8.7,8.8
Azerbaijan,AZE,MW,8,8.1,8.2,8.2,8.3,8.4,8.5,8.6,8.8,8.9,9.1,9.2,9.3,9.4,9.5,9.6,9.8,9.9
Burundi,BDI,MW,6.4,6.6,6.7,7,7.2,7.4,7.7,7.9,8.2,8.5,8.8,9,9.3,9.6,9.9,10.2,10.5,10.9
Belgium,BEL,MW,10.3,10.3,10.3,10.4,10.4,10.5,10.5,10.6,10.7,10.8,10.9,11,11.1,11.2,11.2,11.3,11.3,11.4
Benin,BEN,MW,6.9,7.1,7.3,7.5,7.8,8,8.2,8.5,8.7,8.9,9.2,9.5,9.7,10,10.3,10.6,10.9,11.2
Burkina Faso,BFA,MW,11.6,11.9,12.3,12.7,13,13.4,13.8,14.3,14.7,15.1,15.6,16.1,16.6,17.1,17.6,18.1,18.6,19.2
Bangladesh,BGD,MW,131.6,134.1,136.6,139,141.3,143.4,145.4,147.1,148.8,150.5,152.1,153.9,155.7,157.6,159.4,161.2,163,164.7
Bulgaria,BGR,MW,8.2,8,7.8,7.8,7.7,7.7,7.6,7.5,7.5,7.4,7.4,7.3,7.3,7.3,7.2,7.2,7.1,7.1
Bahrain,BHR,MW,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.5
"Bahamas, The",BHS,MW,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Bosnia and Herzegovina,BIH,MW,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5
Belarus,BLR,MW,10,9.9,9.9,9.8,9.7,9.7,9.6,9.6,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Belize,BLZ,MW,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
Bermuda,BMU,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Bolivia,BOL,MW,8.3,8.5,8.7,8.8,9,9.1,9.3,9.4,9.6,9.8,9.9,10.1,10.2,10.4,10.6,10.7,10.9,11.1
Brazil,BRA,MW,175.3,177.8,180.2,182.5,184.7,186.9,189,191,193,194.9,196.8,198.7,200.6,202.4,204.2,206,207.7,209.3
Barbados,BRB,MW,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Brunei Darussalam,BRN,MW,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Bhutan,BTN,MW,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
Botswana,BWA,MW,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.2,2.2,2.3,2.3
Central African Republic,CAF,MW,3.8,3.8,3.9,4,4.1,4.1,4.2,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.6,4.7
Canada,CAN,MW,30.8,31.1,31.4,31.7,32,32.3,32.6,32.9,33.2,33.6,34,34.3,34.8,35.2,35.5,35.8,36.3,36.6
Central Europe and the Baltics,CEB,MW,108.4,107.8,107.1,106.8,106.5,106.2,105.9,105.5,105.1,104.9,104.5,104.2,103.9,103.7,103.5,103.3,103,102.7
Switzerland,CHE,MW,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.6,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.4
Channel Islands,CHI,MW,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chile,CHL,MW,15.3,15.4,15.6,15.8,16,16.1,16.3,16.5,16.7,16.8,17,17.2,17.3,17.5,17.6,17.8,17.9,18.1
China,CHN,MW,1262.6,1271.8,1280.4,1288.4,1296.1,1303.7,1311,1317.9,1324.7,1331.3,1337.7,1344.1,1350.7,1357.4,1364.3,1371.2,1378.7,1384
Cote d'Ivoire,CIV,MW,16.7,17,17.4,17.7,18,18.3,18.7,19.1,19.5,19.9,20.4,20.9,21.4,22,22.5,23.1,23.7,24.3
Cameroon,CMR,MW,15.3,15.7,16.1,16.5,17,17.4,17.9,18.4,18.9,19.4,20,20.5,21.1,21.7,22.2,22.8,23.4,24.1
"Congo, Dem. Rep.",COD,MW,47.1,48.4,49.8,51.4,53,54.8,56.5,58.4,60.4,62.4,64.5,66.7,69,71.3,73.7,76.2,78.7,81.3
"Congo, Rep.",COG,MW,3.2,3.3,3.4,3.5,3.6,3.7,3.8,4,4.1,4.3,4.4,4.5,4.6,4.8,4.9,5,5.1,5.3
Colombia,COL,MW,40.4,41,41.6,42.2,42.7,43.3,43.8,44.4,44.9,45.4,45.9,46.4,46.9,47.3,47.8,48.2,48.7,49.1
Comoros,COM,MW,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
Cabo Verde,CPV,MW,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Costa Rica,CRI,MW,3.9,4,4.1,4.1,4.2,4.2,4.3,4.4,4.4,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.9,4.9
Caribbean small states,CSS,MW,6.5,6.6,6.6,6.7,6.7,6.8,6.8,6.9,6.9,6.9,7,7,7.1,7.1,7.2,7.2,7.2,7.3
Cuba,CUB,MW,11.2,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.4,11.4,11.5,11.5,11.5
Curacao,CUW,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cayman Islands,CYM,MW,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cyprus,CYP,MW,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
Czech Republic,CZE,MW,10.3,10.2,10.2,10.2,10.2,10.2,10.2,10.3,10.4,10.4,10.5,10.5,10.5,10.5,10.5,10.5,10.6,10.6
Germany,DEU,MW,82.2,82.3,82.5,82.5,82.5,82.5,82.4,82.3,82.1,81.9,81.8,80.3,80.4,80.6,81,81.7,82.7,82.6
Djibouti,DJI,MW,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1
Dominica,DMA,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Denmark,DNK,MW,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.8
Dominican Republic,DOM,MW,8.6,8.7,8.8,9,9.1,9.2,9.4,9.5,9.6,9.8,9.9,10,10.2,10.3,10.4,10.5,10.6,10.8
Algeria,DZA,MW,31.2,31.6,32,32.4,32.8,33.3,33.8,34.3,34.9,35.5,36.1,36.8,37.6,38.3,39.1,39.9,40.6,41.3
East Asia & Pacific (excluding high income),EAP,MW,1813.3,1830.5,1847,1862.8,1878.3,1893.6,1908.4,1922.7,1936.8,1950.8,1964.7,1978.7,1993,2007.4,2022,2036.6,2051.4,2064
Early-demographic dividend,EAR,MW,2473.8,2517.3,2560.6,2603.8,2647,2690.3,2733.7,2777.3,2821,2864.7,2908.8,2952.9,2996.6,3040.2,3083.8,3127.3,3170.5,3213.2
East Asia & Pacific,EAS,MW,2044.5,2063,2080.5,2097.3,2113.5,2129.4,2145.2,2160.4,2175.8,2190.8,2205.6,2220.4,2235.4,2250.6,2265.9,2281.2,2296.8,2309.7
Europe & Central Asia (excluding high income),ECA,MW,397.1,396.9,396.6,396.7,397.1,397.5,398,398.7,399.7,401.5,403.5,405.5,407.7,410.1,412.5,415,417.4,419.2
Europe & Central Asia,ECS,MW,862.3,863.6,865.2,867.5,870,872.7,875.3,878.5,882,885.6,889,891.1,894.7,898.9,903.1,907.4,912,914.5
Ecuador,ECU,MW,12.6,12.9,13.1,13.3,13.5,13.7,14,14.2,14.4,14.7,14.9,15.2,15.4,15.7,15.9,16.1,16.4,16.6
"Egypt, Arab Rep.",EGY,MW,69.9,71.2,72.6,74,75.4,76.8,78.2,79.5,81,82.5,84.1,85.9,87.8,89.8,91.8,93.8,95.7,97.6
Euro area,EMU,MW,321.3,322.5,324.1,325.9,327.7,329.4,330.9,332.6,334.3,335.4,336.2,335.4,336.2,337.3,338.4,339.5,340.9,341.2
Eritrea,ERI,MW,3.4,3.5,3.6,3.7,3.9,4,4.1,4.2,4.2,4.3,4.4,4.5,,,,,,
Spain,ESP,MW,40.6,40.9,41.4,42.2,42.9,43.7,44.4,45.2,46,46.4,46.6,46.7,46.8,46.6,46.5,46.4,46.4,46.5
Estonia,EST,MW,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Ethiopia,ETH,MW,66.5,68.5,70.5,72.5,74.6,76.7,78.9,81,83.2,85.4,87.7,90,92.4,94.9,97.4,99.9,102.4,105
European Union,EUU,MW,488.2,489.2,490.4,492.2,494.2,496.1,498,499.9,501.8,503.3,504.4,504,505.1,506.6,508.2,509.7,511.5,512
Fragile and conflict affected situations,FCS,MW,341.3,350,359.1,368.5,378.1,387.9,397.7,407.7,417.9,428.2,438.7,449.4,460.2,471.3,482.5,493.9,505.6,517.6
Finland,FIN,MW,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5
Fiji,FJI,MW,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
France,FRA,MW,60.9,61.4,61.8,62.2,62.7,63.2,63.6,64,64.4,64.7,65,65.3,65.7,66,66.3,66.6,66.9,67.1
Faroe Islands,FRO,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gabon,GAB,MW,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2,2
United Kingdom,GBR,MW,58.9,59.1,59.4,59.6,60,60.4,60.8,61.3,61.8,62.3,62.8,63.3,63.7,64.1,64.6,65.1,65.6,66
Georgia,GEO,MW,4.4,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7
Ghana,GHA,MW,18.9,19.4,19.9,20.4,21,21.5,22.1,22.7,23.3,23.9,24.5,25.1,25.7,26.3,27,27.6,28.2,28.8
Gibraltar,GIB,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,MW,8.8,9,9.1,9.3,9.5,9.7,9.9,10.1,10.3,10.6,10.8,11,11.3,11.5,11.8,12.1,12.4,12.7
"Gambia, The",GMB,MW,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2,2,2.1
Guinea-Bissau,GNB,MW,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9
Equatorial Guinea,GNQ,MW,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.2,1.2,1.3
Greece,GRC,MW,10.8,10.9,10.9,10.9,11,11,11,11,11.1,11.1,11.1,11.1,11,11,10.9,10.8,10.7,10.7
Grenada,GRD,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Greenland,GRL,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Guatemala,GTM,MW,11.7,11.9,12.2,12.5,12.8,13.1,13.4,13.7,14,14.3,14.6,14.9,15.3,15.6,15.9,16.3,16.6,16.9
Guam,GUM,MW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Guyana,GUY,MW,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
High income,HIC,MW,1070.5,1077.6,1084.8,1092,1099.5,1107.2,1115.5,1124.3,1133.6,1142,1149.5,1155,1161.9,1168.8,1176,1182.9,1190,1195.3
"Hong Kong SAR, China",HKG,MW,6.7,6.7,6.7,6.7,6.8,6.8,6.9,6.9,7,7,7,7.1,7.2,7.2,7.2,7.3,7.3,7.4
Honduras,HND,MW,6.5,6.7,6.9,7,7.2,7.4,7.5,7.7,7.9,8,8.2,8.4,8.5,8.7,8.8,9,9.1,9.3
Heavily indebted poor countries (HIPC),HPC,MW,474.9,488.6,502.7,517.4,532.4,547.7,563.4,579.4,595.8,612.7,630.1,648.1,666.5,685.4,704.7,724.5,744.6,765.1
Croatia,HRV,MW,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.2
Haiti,HTI,MW,8.5,8.7,8.8,9,9.1,9.3,9.4,9.6,9.7,9.9,10,10.1,10.3,10.4,10.6,10.7,10.8,11
Hungary,HUN,MW,10.2,10.2,10.2,10.1,10.1,10.1,10.1,10.1,10,10,10,10,9.9,9.9,9.9,9.8,9.8,9.8
IBRD only,IBD,MW,3982.4,4028.4,4073.4,4118.1,4162.6,4207.2,4251.4,4295.1,4339.1,4383.6,4427.8,4472.3,4517.4,4562.7,4607.8,4652.6,4697.2,4738.3
IDA & IBRD total,IBT,MW,5068.9,5141.2,5213,5285.1,5357.5,5430.4,5503.4,5576.6,5650.5,5725.6,5801.3,5878,5955.5,6033.9,6112.8,6191.9,6271.6,6348.1
IDA total,IDA,MW,1086.4,1112.8,1139.6,1167,1194.9,1223.2,1252.1,1281.5,1311.4,1342,1373.6,1405.7,1438.1,1471.2,1505,1539.3,1574.3,1609.8
IDA blend,IDB,MW,361.1,369.2,377.5,386,394.6,403.5,412.7,422.2,432,442.2,452.9,464,475,486.3,497.8,509.4,521.2,532.9
Indonesia,IDN,MW,211.5,214.5,217.5,220.5,223.6,226.7,229.8,233,236.2,239.3,242.5,245.7,248.9,252,255.1,258.2,261.1,264
IDA only,IDX,MW,725.4,743.5,762.1,781,800.3,819.7,839.4,859.3,879.4,899.8,920.6,941.7,963.1,985,1007.2,1029.9,1053.2,1076.9
Isle of Man,IMN,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
India,IND,MW,1053.1,1071.5,1089.8,1108,1126.1,1144.1,1162,1179.7,1197.1,1214.3,1231,1247.2,1263.1,1278.6,1293.9,1309.1,1324.2,1339.2
Not classified,INX,MW,,,,,,,,,,,,,,,,,,
Ireland,IRL,MW,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.8
"Iran, Islamic Rep.",IRN,MW,66.1,67.1,68,68.8,69.6,70.4,71.2,72,72.8,73.7,74.6,75.5,76.5,77.4,78.4,79.4,80.3,81.2
Iraq,IRQ,MW,23.6,24.3,24.9,25.6,26.3,27,27.7,28.4,29.1,29.9,30.8,31.7,32.8,33.9,35,36.1,37.2,38.3
Iceland,ISL,MW,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Israel,ISR,MW,6.3,6.4,6.6,6.7,6.8,6.9,7.1,7.2,7.3,7.5,7.6,7.8,7.9,8.1,8.2,8.4,8.5,8.7
Italy,ITA,MW,56.9,57,57.1,57.3,57.7,58,58.1,58.4,58.8,59.1,59.3,59.4,59.5,60.2,60.8,60.7,60.6,60.6
Jamaica,JAM,MW,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9
Jordan,JOR,MW,5.1,5.2,5.3,5.4,5.5,5.7,5.9,6.2,6.5,6.8,7.2,7.6,8,8.4,8.8,9.2,9.5,9.7
Japan,JPN,MW,126.8,127.1,127.4,127.7,127.8,127.8,127.9,128,128.1,128,128.1,127.8,127.6,127.4,127.3,127.1,127,126.6
Kazakhstan,KAZ,MW,14.9,14.9,14.9,14.9,15,15.1,15.3,15.5,15.7,16.1,16.3,16.6,16.8,17,17.3,17.5,17.8,18
Kenya,KEN,MW,31.5,32.3,33.2,34.1,35.1,36,37.1,38.1,39.1,40.2,41.4,42.5,43.6,44.8,46,47.2,48.5,49.7
Kyrgyz Republic,KGZ,MW,4.9,4.9,5,5,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.6,5.7,5.8,6,6.1,6.2
Cambodia,KHM,MW,12.2,12.4,12.6,12.9,13.1,13.3,13.5,13.7,13.9,14.1,14.3,14.5,14.8,15,15.3,15.5,15.8,16
Kiribati,KIR,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
St. Kitts and Nevis,KNA,MW,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Korea, Rep.",KOR,MW,47,47.4,47.6,47.9,48.1,48.2,48.4,48.7,49.1,49.3,49.6,49.9,50.2,50.4,50.7,51,51.2,51.4
Kuwait,KWT,MW,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.7,2.8,3,3.2,3.4,3.6,3.8,3.9,4.1,4.1
Latin America & Caribbean (excluding high income),LAC,MW,500,507.1,514.1,521,527.9,534.8,541.8,548.8,555.8,562.8,569.7,576.6,583.5,590.3,597,603.6,610.1,616.5
Lao PDR,LAO,MW,5.3,5.4,5.5,5.6,5.7,5.8,5.8,5.9,6.1,6.2,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9
Lebanon,LBN,MW,3.2,3.4,3.5,3.7,3.9,4,4.1,4.1,4.1,4.2,4.3,4.6,4.9,5.3,5.6,5.9,6,6.1
Liberia,LBR,MW,2.9,3,3.1,3.1,3.2,3.3,3.4,3.5,3.7,3.8,3.9,4.1,4.2,4.3,4.4,4.5,4.6,4.7
Libya,LBY,MW,5.4,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.4
St. Lucia,LCA,MW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Latin America & Caribbean,LCN,MW,524.8,532.2,539.4,546.5,553.6,560.7,567.8,575,582.2,589.4,596.5,603.5,610.5,617.5,624.3,631.1,637.7,644.1
Least developed countries: UN classification,LDC,MW,664.8,681.9,699.6,717.6,735.8,754.1,772.5,791,809.7,829,848.8,869.3,890.4,912.1,934.2,956.6,979.4,1002.5
Low income,LIC,MW,425.1,437,449.3,462,475.1,488.4,502.1,516,530.2,544.9,560,575.6,591.6,608,624.8,641.9,659.3,677
Liechtenstein,LIE,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,MW,18.7,18.8,18.9,19.1,19.2,19.4,19.5,19.7,19.8,20,20.1,20.3,20.4,20.6,20.8,21,21.2,21.3
Lower middle income,LMC,MW,2337.8,2379.1,2420.4,2461.9,2503.5,2545.3,2587.2,2629.3,2671.5,2713.9,2756.6,2799.4,2841.9,2884.6,2927.2,2970,3012.9,3055.4
Low & middle income,LMY,MW,5047.6,5120,5192,5264.3,5336.8,5409.8,5482.9,5556.1,5630.1,5705.2,5781.1,5857.8,5935.5,6014,6093,6172.3,6252.1,6328.7
Lesotho,LSO,MW,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2
Late-demographic dividend,LTE,MW,2044.4,2059.4,2073.4,2087.1,2100.7,2114.4,2127.9,2141.1,2154.4,2168.1,2181.3,2194.5,2208,2221.7,2235.4,2248.9,2262.7,2273.5
Lithuania,LTU,MW,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3,3,3,2.9,2.9,2.9,2.9
Luxembourg,LUX,MW,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
Latvia,LVA,MW,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,2,2,2
"Macao SAR, China",MAC,MW,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
St. Martin (French part),MAF,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,MAR,MW,28.8,29.2,29.5,29.8,30.2,30.5,30.9,31.2,31.6,32,32.4,32.9,33.3,33.8,34.3,34.8,35.3,35.7
Monaco,MCO,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,MW,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5
Madagascar,MDG,MW,15.8,16.3,16.8,17.3,17.8,18.3,18.9,19.4,20,20.6,21.2,21.7,22.3,23,23.6,24.2,24.9,25.6
Maldives,MDV,MW,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Middle East & North Africa,MEA,MW,317.1,323.2,329.3,335.5,342,349,356.3,364,372,380.2,388.4,396.6,404.8,413,421,429,436.7,444.3
Mexico,MEX,MW,101.7,103.1,104.4,105.6,107,108.5,110.1,111.8,113.7,115.5,117.3,119.1,120.8,122.5,124.2,125.9,127.5,129.2
Marshall Islands,MHL,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Middle income,MIC,MW,4622.4,4683,4742.7,4802.2,4861.7,4921.3,4980.8,5040.1,5099.9,5160.3,5221.1,5282.3,5343.9,5406,5468.3,5530.4,5592.8,5651.7
"Macedonia, FYR",MKD,MW,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Mali,MLI,MW,11,11.3,11.6,12,12.4,12.8,13.2,13.7,14.1,14.6,15.1,15.5,16,16.5,17,17.5,18,18.5
Malta,MLT,MW,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Myanmar,MMR,MW,46.1,46.6,47.1,47.6,48.1,48.5,48.8,49.2,49.5,49.8,50.2,50.6,51,51.4,51.9,52.4,52.9,53.4
Middle East & North Africa (excluding high income),MNA,MW,281,286,291.1,296.1,301.3,306.6,312.1,317.7,323.5,329.5,335.6,341.8,348.2,354.6,361.1,367.4,373.7,379.9
Montenegro,MNE,MW,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Mongolia,MNG,MW,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.9,2.9,3,3,3.1
Northern Mariana Islands,MNP,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mozambique,MOZ,MW,18.1,18.6,19.1,19.7,20.3,20.9,21.5,22.2,22.8,23.5,24.2,24.9,25.7,26.4,27.2,28,28.8,29.7
Mauritania,MRT,MW,2.7,2.8,2.9,3,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.2,4.3,4.4
Mauritius,MUS,MW,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Malawi,MWI,MW,11.4,11.7,12,12.3,12.7,13,13.4,13.8,14.3,14.7,15.2,15.6,16.1,16.6,17.1,17.6,18.1,18.6
Malaysia,MYS,MW,23.2,23.7,24.2,24.7,25.2,25.7,26.1,26.6,27.1,27.6,28.1,28.6,29.2,29.7,30.2,30.7,31.2,31.6
