Data Source,World Development Indicators,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,BHR,"Population, total",SP.POP.TOTL,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3766706,3771284,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172
Belize,BLZ,"Population, total",SP.POP.TOTL,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564
Bolivia,BOL,"Population, total",SP.POP.TOTL,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343
Brazil,BRA,"Population, total",SP.POP.TOTL,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688
Barbados,BRB,"Population, total",SP.POP.TOTL,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,333241,340117,346867,353389,359523,365158,370250,374864,379252,383772,388662,394013
Bhutan,BTN,"Population, total",SP.POP.TOTL,573416,589600,606399,623434,640282,656639,672228,686958,700950,714458,727641,740510
Botswana,BWA,"Population, total",SP.POP.TOTL,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3754986,3832203,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,108405522,107800399,107097577,106760768,106466116,106173766,105901322,105504531,105126686,104924372,104543801,104174038
Switzerland,CHE,"Population, total",SP.POP.TOTL,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398
Channel Islands,CHI,"Population, total",SP.POP.TOTL,148725,149793,150901,152038,153170,154294,155411,156513,157581,158603,159581,160497
Chile,CHL,"Population, total",SP.POP.TOTL,15262754,15444969,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311
Cameroon,CMR,"Population, total",SP.POP.TOTL,15274234,15671927,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730
Colombia,COL,"Population, total",SP.POP.TOTL,40403958,40988909,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646
Comoros,COM,"Population, total",SP.POP.TOTL,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,435079,443716,452106,460147,467664,474567,480795,486438,491723,496963,502384,508067
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6530691,6577216,6623792,6670276,6716373,6761932,6806838,6851221,6895315,6939534,6984096,7029022
Cuba,CUB,"Population, total",SP.POP.TOTL,11150736,11186542,11217998,11244885,11266941,11284253,11296233,11303687,11309754,11318602,11333051,11354651
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,41687,43316,44738,46028,47299,48622,50031,51483,52926,54279,55507,56579
Cyprus,CYP,"Population, total",SP.POP.TOTL,943286,960282,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983
Djibouti,DJI,"Population, total",SP.POP.TOTL,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937
Dominica,DMA,"Population, total",SP.POP.TOTL,69676,69670,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095
Algeria,DZA,"Population, total",SP.POP.TOTL,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1813301554,1830514334,1846954095,1862791918,1878255588,1893574455,1908392032,1922657606,1936774935,1950768124,1964691596,1978727582
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2473774746,2517286127,2560644471,2603838625,2647027406,2690316623,2733734510,2777285769,2820959886,2864730145,2908808244,2952873719
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2044496088,2063002418,2080534724,2097265008,2113465324,2129445086,2145245494,2160431752,2175832008,2190811045,2205614879,2220357890
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,397083969,396886165,396574307,396720391,397064999,397469492,398011334,398693705,399739094,401472949,403470694,405521953
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,862304084,863615633,865196877,867457662,870030758,872661621,875343230,878465992,881965816,885591693,889016221,891094964
Ecuador,ECU,"Population, total",SP.POP.TOTL,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561
Euro area,EMU,"Population, total",SP.POP.TOTL,321310785,322547881,324125338,325885962,327682509,329380418,330922786,332645168,334274731,335360887,336151479,335425831
Eritrea,ERI,"Population, total",SP.POP.TOTL,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690
Spain,ESP,"Population, total",SP.POP.TOTL,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439
Ethiopia,ETH,"Population, total",SP.POP.TOTL,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756
European Union,EUU,"Population, total",SP.POP.TOTL,488178830,489155666,490390251,492200115,494162545,496115011,497973707,499916649,501808478,503317964,504421131,504012082
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,341295147,350015363,359110192,368514375,378123879,387862311,397732436,407747286,417919663,428246870,438737943,449398455
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272
Fiji,FJI,"Population, total",SP.POP.TOTL,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086
France,FRA,"Population, total",SP.POP.TOTL,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47258,47526,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107432,107165,106983,106816,106577,106196,105684,105078,104478,103960,103616,103468
Gabon,GAB,"Population, total",SP.POP.TOTL,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101
United Kingdom,GBR,"Population, total",SP.POP.TOTL,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918
Georgia,GEO,"Population, total",SP.POP.TOTL,4418300,4386400,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000
Ghana,GHA,"Population, total",SP.POP.TOTL,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796
Gibraltar,GIB,"Population, total",SP.POP.TOTL,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405
Guinea,GIN,"Population, total",SP.POP.TOTL,8808546,8971139,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1243229,1267512,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290
Greece,GRC,"Population, total",SP.POP.TOTL,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899
Grenada,GRD,"Population, total",SP.POP.TOTL,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890
Guatemala,GTM,"Population, total",SP.POP.TOTL,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919
Guam,GUM,"Population, total",SP.POP.TOTL,155329,156401,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678
Guyana,GUY,"Population, total",SP.POP.TOTL,753301,752263,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100
High income,HIC,"Population, total",SP.POP.TOTL,1070496404,1077634323,1084822379,1091996228,1099536199,1107240168,1115520890,1124299890,1133634254,1141985286,1149511694,1154998991
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600
Honduras,HND,"Population, total",SP.POP.TOTL,6524283,6693061,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,474935556,488553040,502710676,517352559,532385197,547744433,563415107,579434057,595849807,612731524,630127436,648053253
Croatia,HRV,"Population, total",SP.POP.TOTL,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622
Haiti,HTI,"Population, total",SP.POP.TOTL,8549200,8692567,8834733,8976552,9119178,9263404,9409457,9556889,9705029,9852870,9999617,10145054
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727
IBRD only,IBD,"Population, total",SP.POP.TOTL,3982443142,4028377292,4073362380,4118095711,4162639289,4207162999,4251352513,4295109674,4339073871,4383580939,4427798045,4472295862
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5068859280,5141153664,5213009069,5285116716,5357527608,5430388379,5503417422,5576571343,5650516692,5725606720,5801348625,5877978113
IDA total,IDA,"Population, total",SP.POP.TOTL,1086416138,1112776372,1139646689,1167021005,1194888319,1223225380,1252064909,1281461669,1311442821,1342025781,1373550580,1405682251
IDA blend,IDB,"Population, total",SP.POP.TOTL,361050467,369246309,377544104,385980348,394625729,403526930,412705870,422204235,432032769,442179341,452947421,463997812
Indonesia,IDN,"Population, total",SP.POP.TOTL,211540429,214506502,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511
IDA only,IDX,"Population, total",SP.POP.TOTL,725365671,743530063,762102585,781040657,800262590,819698450,839359039,859257434,879410052,899846440,920603159,941684439
Isle of Man,IMN,"Population, total",SP.POP.TOTL,72554,73192,73870,74587,75341,76118,76914,77727,78534,79325,80072,80759
India,IND,"Population, total",SP.POP.TOTL,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,66131854,67096414,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582
Iraq,IRQ,"Population, total",SP.POP.TOTL,23565413,24251649,24939299,25627626,26316609,27008426,27697912,28390433,29111417,29894652,30762701,31727053
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449
Jamaica,JAM,"Population, total",SP.POP.TOTL,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493
Jordan,JOR,"Population, total",SP.POP.TOTL,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943
Japan,JPN,"Population, total",SP.POP.TOTL,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600
Kenya,KEN,"Population, total",SP.POP.TOTL,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600
Cambodia,KHM,"Population, total",SP.POP.TOTL,12152354,12402473,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886
Kiribati,KIR,"Population, total",SP.POP.TOTL,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,45374,45990,46641,47306,47971,48611,49210,49783,50332,50886,51445,52006
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638
Kuwait,KWT,"Population, total",SP.POP.TOTL,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,499996505,507131154,514126613,521033040,527919692,534836570,541798268,548789887,555795034,562785589,569737872,576648286
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487
Lebanon,LBN,"Population, total",SP.POP.TOTL,3235366,3359859,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368
Liberia,LBR,"Population, total",SP.POP.TOTL,2884522,2991132,3062863,3116233,3176414,3261230,3375838,3512932,3662993,3811528,3948125,4070167
Libya,LBY,"Population, total",SP.POP.TOTL,5355751,5440566,5527515,5615952,5704759,5792688,5881435,5970362,6053078,6121053,6169140,6193501
St. Lucia,LCA,"Population, total",SP.POP.TOTL,156949,158464,159763,160973,162251,163714,165407,167288,169220,171022,172580,173832
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,524829248,532173135,539373531,546480559,553565401,560677294,567825874,574999132,582185012,589352524,596477846,603534610
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,664804763,681932226,699560739,717572892,735796583,754118072,772488966,790978141,809730997,828953320,848791962,869298106
Low income,LIC,"Population, total",SP.POP.TOTL,425129552,436993814,449310184,462034389,475094388,488440913,502059411,515977457,530237548,544900284,560007444,575572515
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,33286,33671,34018,34321,34596,34852,35095,35322,35541,35766,36003,36264
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,18655000,18797000,18939000,19083000,19228000,19373000,19520000,19668000,19817000,19968000,20119000,20271000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2337778855,2379053569,2420369986,2461865840,2503542524,2545319773,2587214235,2629277748,2671499214,2713862748,2756602745,2799383507
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5047578889,5120003794,5192002039,5264263346,5336810799,5409780630,5482900367,5556123157,5630111419,5705229263,5781145005,5857844644
Lesotho,LSO,"Population, total",SP.POP.TOTL,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2044405728,2059351100,2073373008,2087062173,2100672286,2114381754,2127904635,2141092280,2154444388,2168123627,2181250143,2194503254
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347
Latvia,LVA,"Population, total",SP.POP.TOTL,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,427979,438081,448896,460147,471453,482559,493320,503823,514348,525313,536969,549439
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615
Morocco,MAR,"Population, total",SP.POP.TOTL,28849621,29181832,29512368,29843937,30179285,30521070,30869346,31225881,31596855,31989897,32409639,32858823
Monaco,MCO,"Population, total",SP.POP.TOTL,32082,32360,32629,32933,33314,33793,34408,35111,35853,36534,37094,37497
Moldova,MDA,"Population, total",SP.POP.TOTL,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986
Madagascar,MDG,"Population, total",SP.POP.TOTL,15766806,16260932,16765117,17279141,17802997,18336724,18880268,19433523,19996469,20569121,21151640,21743949
Maldives,MDV,"Population, total",SP.POP.TOTL,286000,292000,297000,304000,312000,321000,333000,349000,362000,360000,367000,377000
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,317129227,323196354,329289435,335522845,342046777,348956287,356287693,363996317,371999662,380192587,388376106,396573248
Mexico,MEX,"Population, total",SP.POP.TOTL,101719673,103067068,104355608,105640453,106995583,108472228,110092378,111836346,113661809,115505228,117318941,119090017
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52159,52183,52158,52116,52074,52055,52078,52137,52218,52320,52425,52542
Middle income,MIC,"Population, total",SP.POP.TOTL,4622449337,4683009980,4742691855,4802228957,4861716411,4921339717,4980840956,5040145700,5099873871,5160328979,5221137561,5282272129
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2034819,2042842,2048928,2053426,2057047,2060272,2063145,2065458,2067378,2069093,2070739,2072383
Mali,MLI,"Population, total",SP.POP.TOTL,10967690,11293258,11638929,12005128,12391906,12798763,13227064,13675606,14138216,14606597,15075085,15540989
Malta,MLT,"Population, total",SP.POP.TOTL,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268
Myanmar,MMR,"Population, total",SP.POP.TOTL,46095462,46627994,47140220,47624894,48073707,48482614,48846474,49171586,49479752,49800690,50155896,50553031
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,280955290,286016125,291051001,296114536,301278295,306595214,312079307,317721161,323531149,329488935,335581557,341822043
Montenegro,MNE,"Population, total",SP.POP.TOTL,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079
Mongolia,MNG,"Population, total",SP.POP.TOTL,2397436,2419776,2443659,2469286,2496832,2526446,2558012,2591670,2628131,2668289,2712650,2761516
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,69094,69388,68763,67422,65663,63744,61688,59513,57431,55674,54424,53786
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18067687,18588758,19139658,19716598,20312705,20923070,21547463,22188387,22846758,23524063,24221405,24939005
Mauritania,MRT,"Population, total",SP.POP.TOTL,2709359,2790729,2873228,2957117,3042823,3130720,3220653,3312665,3407541,3506288,3609543,3717672
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404
Malawi,MWI,"Population, total",SP.POP.TOTL,11376172,11695863,12013711,12336687,12676038,13039711,13429262,13840969,14271234,14714602,15167095,15627618
Malaysia,MYS,"Population, total",SP.POP.TOTL,23185608,23698907,24198811,24688703,25174109,25659393,26143566,26625845,27111069,27605383,28112289,28635128
North America,NAC,"Population, total",SP.POP.TOTL,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343418591,346070702
Namibia,NAM,"Population, total",SP.POP.TOTL,1899257,1933596,1962147,1986535,2009228,2032196,2055734,2079915,2106375,2137040,2173170,2215621
New Caledonia,NCL,"Population, total",SP.POP.TOTL,213230,217324,221490,225000,228000,231000,235000,238000,242000,245000,250000,254000
Niger,NER,"Population, total",SP.POP.TOTL,11352973,11771976,12206002,12656870,13127012,13618449,14132064,14668338,15228525,15813913,16425578,17064636
Nigeria,NGA,"Population, total",SP.POP.TOTL,122352009,125463434,128666710,131972533,135393616,138939478,142614094,146417024,150347390,154402181,158578261,162877076
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5026796,5100750,5171734,5240879,5309703,5379328,5450211,5522106,5594506,5666581,5737723,5807820
Netherlands,NLD,"Population, total",SP.POP.TOTL,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074
Norway,NOR,"Population, total",SP.POP.TOTL,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088
Nepal,NPL,"Population, total",SP.POP.TOTL,23740911,24161777,24566342,24950623,25309449,25640287,25940618,26214847,26475859,26741103,27023137,27327147
Nauru,NRU,"Population, total",SP.POP.TOTL,10042,10053,10073,10096,10113,10115,10101,10075,10047,10028,10025,10057
New Zealand,NZL,"Population, total",SP.POP.TOTL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000
OECD members,OED,"Population, total",SP.POP.TOTL,1156568670,1164785029,1173046153,1181328842,1189684726,1198065132,1206821076,1215883022,1225426692,1234203233,1242391523,1248769315
Oman,OMN,"Population, total",SP.POP.TOTL,2267991,2294787,2334285,2385255,2444751,2511269,2582991,2662762,2759014,2882942,3041460,3237268
Other small states,OSS,"Population, total",SP.POP.TOTL,20944988,21329094,21724724,22143131,22602097,23114953,23687194,24313721,24972681,25620918,26269542,26902018
Pakistan,PAK,"Population, total",SP.POP.TOTL,138523285,141601437,144654143,147703401,150780300,153909667,157093993,160332974,163644603,167049580,170560182,174184265
Panama,PAN,"Population, total",SP.POP.TOTL,3030347,3089684,3149265,3209174,3269541,3330465,3391905,3453807,3516268,3579385,3643222,3707782
Peru,PER,"Population, total",SP.POP.TOTL,25914879,26261363,26601467,26937738,27273194,27610410,27949944,28292724,28641980,29001507,29373646,29759989
Philippines,PHL,"Population, total",SP.POP.TOTL,77991569,79665315,81352060,83031954,84678493,86274237,87809419,89293490,90751864,92220879,93726624,95277940
Palau,PLW,"Population, total",SP.POP.TOTL,19175,19404,19574,19700,19804,19906,20012,20116,20228,20342,20470,20599
